OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT
27794,2016-03-19 15:55:48+00:00,Eschrichtius robustus,Gray Whale,2.0,43.66283541,-124.1989325,whale_alert,5855,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-124.1989325 43.66283541)
27795,2016-03-19 16:14:02+00:00,Eschrichtius robustus,Gray Whale,2.0,43.66283109,-124.1988532,whale_alert,5856,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-124.1988532 43.66283109)
27796,2016-03-19 16:48:06+00:00,Eschrichtius robustus,Gray Whale,1.0,43.66282962,-124.198895,whale_alert,5857,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-124.198895 43.66282962)
27797,2016-03-19 16:58:33+00:00,Eschrichtius robustus,Gray Whale,1.0,43.66290083,-124.1989201,whale_alert,5858,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-124.1989201 43.66290083)
27799,2016-03-19 16:48:21+00:00,Megaptera novaeangliae,Humpback Whale,2,34.323936,-119.749293,spotter_pro,5860,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.749293 34.323936)
27800,2016-03-19 17:59:28+00:00,Megaptera novaeangliae,Humpback Whale,2,34.291002,-119.759653,spotter_pro,5860,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.759653 34.291002)
27801,2016-03-19 16:21:04+00:00,Delphinus capensis,Common Long-Beaked Dolphin,150,34.378637,-119.700809,spotter_pro,5860,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.700809 34.378637)
27802,2016-03-19 17:25:31+00:00,Megaptera novaeangliae,Humpback Whale,1,34.299256,-119.760509,spotter_pro,5860,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.760509 34.299256)
27803,2016-03-19 19:59:00+00:00,Eubalaena,Right Whale,1.0,41.78457848,-70.17752172,whale_alert,5861,,HumanObservation,urn:lsid:marinespecies.org:taxname:159022,POINT (-70.17752172 41.78457848)
27804,2016-03-19 19:43:39+00:00,Eschrichtius robustus,Gray Whale,2,34.386316,-119.716931,spotter_pro,5862,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.716931 34.386316)
27805,2016-03-19 19:26:35+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,30,34.390289,-119.667586,spotter_pro,5862,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.667586 34.390289)
27806,2016-03-19 20:49:32+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.383652,-119.735866,spotter_pro,5862,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.735866 34.383652)
27807,2016-03-19 21:18:22+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,20,34.394696,-119.667675,spotter_pro,5862,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.667675 34.394696)
27808,2016-03-19 20:40:44+00:00,Eschrichtius robustus,Gray Whale,1,34.38703,-119.7387,spotter_pro,5862,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.7387 34.38703)
27809,2016-03-19 20:30:58+00:00,Megaptera novaeangliae,Humpback Whale,1,34.387799,-119.744112,spotter_pro,5862,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.744112 34.387799)
27811,2016-03-19 23:18:13+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,4,34.394193,-119.733821,spotter_pro,5864,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.733821 34.394193)
27812,2016-03-19 23:47:15+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.327677,-119.737622,spotter_pro,5864,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.737622 34.327677)
27813,2016-03-19 22:27:34+00:00,Eschrichtius robustus,Gray Whale,6,34.393159,-119.674097,spotter_pro,5864,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.674097 34.393159)
27814,2016-03-19 23:19:40+00:00,Eschrichtius robustus,Gray Whale,2,34.394415,-119.733819,spotter_pro,5864,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.733819 34.394415)
27819,2016-03-20 16:32:44+00:00,Eschrichtius robustus,Gray Whale,2.0,43.66261194,-124.199176,whale_alert,5869,,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-124.199176 43.66261194)
27829,2016-03-20 20:07:43+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,10,34.403037,-119.785384,spotter_pro,5871,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.785384 34.403037)
27830,2016-03-20 21:28:02+00:00,Delphinus capensis,Common Long-Beaked Dolphin,50,34.386729,-119.666195,spotter_pro,5871,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.666195 34.386729)
27831,2016-03-20 20:25:48+00:00,Delphinus capensis,Common Long-Beaked Dolphin,20,34.392809,-119.802935,spotter_pro,5871,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.802935 34.392809)
27832,2016-03-20 19:18:42+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,6,34.400387,-119.669112,spotter_pro,5871,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.669112 34.400387)
27833,2016-03-20 20:06:52+00:00,Eschrichtius robustus,Gray Whale,2,34.403055,-119.78458,spotter_pro,5871,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.78458 34.403055)
27834,2016-03-20 19:42:02+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,4,34.396605,-119.745446,spotter_pro,5871,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.745446 34.396605)
27835,2016-03-21 00:15:47+00:00,Delphinus capensis,Common Long-Beaked Dolphin,75,34.32795,-119.564791,spotter_pro,5872,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.564791 34.32795)
27836,2016-03-20 23:09:56+00:00,Megaptera novaeangliae,Humpback Whale,2,34.360723,-119.516879,spotter_pro,5872,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.516879 34.360723)
27837,2016-03-20 22:21:59+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,12,34.401141,-119.676322,spotter_pro,5872,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-119.676322 34.401141)
