OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean,PK_UID,featurecla,scalerank,min_zoom,geom:1,in_channel
27481,2016-03-01 19:13:18+00:00,Megaptera novaeangliae,Humpback Whale,1,34.356004,-119.67486,spotter_pro,5746,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.67486 34.356004),,1,1,Ocean,0,0,,1
27480,2016-03-01 21:16:04+00:00,Eschrichtius robustus,Gray Whale,1,34.390137,-119.70564,spotter_pro,5745,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.70564 34.390137),,1,1,Ocean,0,0,,1
27478,2016-03-01 21:39:57+00:00,Megaptera novaeangliae,Humpback Whale,1,34.370246,-119.762056,spotter_pro,5745,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.762056 34.370246),,1,1,Ocean,0,0,,1
27477,2016-03-01 21:44:58+00:00,Megaptera novaeangliae,Humpback Whale,2,34.371944,-119.763194,spotter_pro,5745,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.763194 34.371944),,1,1,Ocean,0,0,,1
27479,2016-03-01 22:08:37+00:00,Megaptera novaeangliae,Humpback Whale,2,34.379229,-119.754741,spotter_pro,5745,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.754741 34.379229),,1,1,Ocean,0,0,,1
27483,2016-03-02 17:43:54+00:00,Eschrichtius robustus,Gray Whale,3,34.153359,-119.409225,spotter_pro,5748,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.409225 34.153359),,1,1,Ocean,0,0,,1
27484,2016-03-02 18:11:11+00:00,Megaptera novaeangliae,Humpback Whale,1,34.093962,-119.49265,spotter_pro,5748,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.49265 34.093962),,1,1,Ocean,0,0,,1
27493,2016-03-02 18:15:44+00:00,Megaptera novaeangliae,Humpback Whale,2,34.216599,-119.408149,spotter_pro,5750,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.408149 34.216599),,1,1,Ocean,0,0,,1
27485,2016-03-02 18:16:54+00:00,Balaenoptera musculus,Blue Whale,1,34.090132,-119.490122,spotter_pro,5748,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-119.490122 34.090132),,1,1,Ocean,0,0,,1
27494,2016-03-02 18:22:00+00:00,Delphinus capensis,Common Long-Beaked Dolphin,25,34.217166,-119.404137,spotter_pro,5750,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.404137 34.217166),,1,1,Ocean,0,0,,1
27492,2016-03-02 18:44:40+00:00,Eschrichtius robustus,Gray Whale,2,34.174543,-119.380907,spotter_pro,5750,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.380907 34.174543),,1,1,Ocean,0,0,,1
27474,2016-03-02 20:29:03+00:00,Delphinus capensis,Common Long-Beaked Dolphin,10,34.374853,-119.643427,spotter_pro,5743,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.643427 34.374853),,1,1,Ocean,0,0,,1
27473,2016-03-02 20:37:29+00:00,Delphinus capensis,Common Long-Beaked Dolphin,10,34.369937,-119.625206,spotter_pro,5743,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.625206 34.369937),,1,1,Ocean,0,0,,1
27472,2016-03-02 20:55:24+00:00,Megaptera novaeangliae,Humpback Whale,2,34.347859,-119.579243,spotter_pro,5743,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.579243 34.347859),,1,1,Ocean,0,0,,1
27471,2016-03-02 21:12:37+00:00,Delphinus capensis,Common Long-Beaked Dolphin,30,34.355758,-119.580286,spotter_pro,5743,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.580286 34.355758),,1,1,Ocean,0,0,,1
27475,2016-03-02 21:53:20+00:00,Megaptera novaeangliae,Humpback Whale,2,34.355935,-119.622466,spotter_pro,5744,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.622466 34.355935),,1,1,Ocean,0,0,,1
27486,2016-03-02 22:06:10+00:00,Eschrichtius robustus,Gray Whale,5,34.223642,-119.349441,spotter_pro,5749,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.349441 34.223642),,1,1,Ocean,0,0,,1
27470,2016-03-02 22:07:42+00:00,Eschrichtius robustus,Gray Whale,3,34.335576,-119.665155,spotter_pro,5743,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.665155 34.335576),,1,1,Ocean,0,0,,1
27488,2016-03-02 22:30:51+00:00,Delphinus capensis,Common Long-Beaked Dolphin,50,34.210615,-119.414827,spotter_pro,5749,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.414827 34.210615),,1,1,Ocean,0,0,,1
27490,2016-03-02 22:33:05+00:00,Megaptera novaeangliae,Humpback Whale,1,34.206456,-119.41642,spotter_pro,5749,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.41642 34.206456),,1,1,Ocean,0,0,,1
27476,2016-03-02 22:36:45+00:00,Eschrichtius robustus,Gray Whale,1,34.360672,-119.68363,spotter_pro,5744,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.68363 34.360672),,1,1,Ocean,0,0,,1
27489,2016-03-02 22:43:14+00:00,Delphinus capensis,Common Long-Beaked Dolphin,50,34.202291,-119.408538,spotter_pro,5749,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.408538 34.202291),,1,1,Ocean,0,0,,1
27487,2016-03-02 22:49:17+00:00,Eschrichtius robustus,Gray Whale,1,34.199571,-119.410071,spotter_pro,5749,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.410071 34.199571),,1,1,Ocean,0,0,,1
27491,2016-03-02 23:17:05+00:00,Megaptera novaeangliae,Humpback Whale,2,34.197591,-119.426388,spotter_pro,5749,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.426388 34.197591),,1,1,Ocean,0,0,,1
27534,2016-03-03 20:27:46+00:00,Eschrichtius robustus,Gray Whale,2,34.377192,-119.688952,spotter_pro,5760,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.688952 34.377192),,1,1,Ocean,0,0,,1
